Username,URL,Followers,Following,Tweets,Raw_Score,FinalScore
JEWELFORJIM,https://x.com/JEWELFORJIM,2348,10,1,80.0,88.896
WeheartIniEdo,https://x.com/WeheartIniEdo,7510,382,5969,90.0,100.008
JimIykeFoundat,https://x.com/JimIykeFoundat,1163,11,0,80.0,88.896
RitaDominicINTL,https://x.com/RitaDominicINTL,1004,331,595,90.0,100.008
GeniNnaji,https://x.com/GeniNnaji,1049,36,2,80.0,88.896
oge_okoye,https://x.com/oge_okoye,814,10,30,,
EmekaikeJR,https://x.com/EmekaikeJR,138,24,28,,
TeamChikaIke,https://x.com/TeamChikaIke,8010,95,5116,,
Uti_bba,https://x.com/Uti_bba,342,1,1,,
OgeOkoyeDuru,https://x.com/OgeOkoyeDuru,6854,1,13,,
chiomachukwuka,https://x.com/chiomachukwuka,413,1,1,,
Tuvie,https://x.com/Tuvie,1591,199,49503,,
tunjiframes,https://x.com/tunjiframes,7423,1263,238664,,
lumidizzle,https://x.com/lumidizzle,3404,574,70469,,
eightsnweights,https://x.com/eightsnweights,1503,375,33624,,
happyBBB,https://x.com/happyBBB,3181,1232,169692,,
j_divaaa,https://x.com/j_divaaa,2367,693,166860,,
Aee_FX,https://x.com/Aee_FX,1737,1510,74712,,
femiid,https://x.com/femiid,1372,498,123481,,
Babsodukale,https://x.com/Babsodukale,635,873,28068,,
Mr_Edgal,https://x.com/Mr_Edgal,3452,1500,164992,,
kactuskay,https://x.com/kactuskay,757,672,35891,,
CharityOwoh,https://x.com/CharityOwoh,7346,952,71649,,
lydde_coco,https://x.com/lydde_coco,1105,479,53810,,
RicDizZLe,https://x.com/RicDizZLe,4721,855,178515,,
andrewesiri,https://x.com/andrewesiri,3502,1077,27433,,
elbama,https://x.com/elbama,9665,1118,73201,,
OfficialChee,https://x.com/OfficialChee,9724,550,16633,,
iamkjv,https://x.com/iamkjv,9107,1218,28952,,
olaDEL,https://x.com/olaDEL,4749,450,52430,,
nigerianewsday,https://x.com/nigerianewsday,1530,1776,5834,,
kaifragrance,https://x.com/kaifragrance,1932,299,1591,,
OSMOZ_fragrance,https://x.com/OSMOZ_fragrance,2945,1433,4755,,
Sniffapalooza,https://x.com/Sniffapalooza,3462,2075,9631,,
CareyWodehouse,https://x.com/CareyWodehouse,960,817,7836,,
peterrayokoye,https://x.com/peterrayokoye,373,3954,348,,
ClassicAutoSpa,https://x.com/ClassicAutoSpa,126,14,401,,
nyoreonline,https://x.com/nyoreonline,2787,468,10515,,
soklevahughes,https://x.com/soklevahughes,9063,1312,28594,,
SaveMart,https://x.com/SaveMart,9871,1317,7423,,
beejiess,https://x.com/beejiess,4228,596,4394,,
Omada_Sound,https://x.com/Omada_Sound,1771,1793,36890,,
readwriteweb,https://x.com/readwriteweb,7850,15,644,,
the_sancturian,https://x.com/the_sancturian,9422,237,65562,,
KennysMusic,https://x.com/KennysMusic,3198,77,3557,,
caseymasterson,https://x.com/caseymasterson,110,118,1192,,
bolaoni,https://x.com/bolaoni,1202,2332,6428,,
ladibrace,https://x.com/ladibrace,44,41,162,,
Celebridoodle,https://x.com/Celebridoodle,305,71,6323,,
