Username,URL,Followers,Following,Tweets,Raw_Score,FinalScore
lucasabelda,https://x.com/lucasabelda,286,527,519,90,100
JonDSalter,https://x.com/JonDSalter,272,286,311,90,100
Musqet_David,https://x.com/Musqet_David,938,1552,1484,90,100
sardinhaplantao,https://x.com/sardinhaplantao,217,149,1484,90,100
AntoniBatzu,https://x.com/AntoniBatzu,513,1048,3043,90,100
radek1st,https://x.com/radek1st,485,350,340,90,100
RealPr0fX,https://x.com/RealPr0fX,348,358,3305,90,100
DarylHok,https://x.com/DarylHok,1553,600,156,90,100
theawakecoach,https://x.com/theawakecoach,3275,1576,12409,90,100
Hatikva22,https://x.com/Hatikva22,138,50,1046,90,100
aklreuben,https://x.com/aklreuben,401,523,2053,90,100
robertg54765607,https://x.com/robertg54765607,60,47,57,90,100
StarChild_TV,https://x.com/StarChild_TV,675,1639,6234,90,100
johnseb88691726,https://x.com/johnseb88691726,1713,3412,1728,90,100
NurseJMann,https://x.com/NurseJMann,92,126,84,90,100
BTBB76,https://x.com/BTBB76,131,230,345,90,100
SGroupinvest,https://x.com/SGroupinvest,257,283,76,90,100
jahangir0610,https://x.com/jahangir0610,271,543,10974,90,100
wingad2020,https://x.com/wingad2020,237,496,67,90,100
clermrj,https://x.com/clermrj,180,242,54,90,100
rakwasiX,https://x.com/rakwasiX,391,825,2380,90,100
MAWBKK1,https://x.com/MAWBKK1,489,472,2966,90,100
JimTradins,https://x.com/JimTradins,392,937,1222,90,100
Austin2XIIVV,https://x.com/Austin2XIIVV,279,241,3852,90,100
mcbsc83,https://x.com/mcbsc83,167,476,2138,90,100
them_jim,https://x.com/them_jim,139,275,89,90,100
CryptoJoe080914,https://x.com/CryptoJoe080914,112,331,171,90,100
ledoanthanhtrun,https://x.com/ledoanthanhtrun,4330,1244,1605,90,100
crypto_dr1p,https://x.com/crypto_dr1p,47,100,644,90,100
ToddysTreats,https://x.com/ToddysTreats,764,606,2822,90,100
245glt,https://x.com/245glt,310,211,422,90,100
Bigal48309,https://x.com/Bigal48309,68,47,242,90,100
iLMoroZz,https://x.com/iLMoroZz,46,122,146,90,100
0xCryptoTrader_,https://x.com/0xCryptoTrader_,155,392,1816,90,100
ZikZiktao,https://x.com/ZikZiktao,233,90,193,90,100
mcoliver,https://x.com/mcoliver,256,708,933,90,100
Tom_bolo,https://x.com/Tom_bolo,83,166,213,90,100
ttrades101,https://x.com/ttrades101,666,468,1443,90,100
Dayturatrader,https://x.com/Dayturatrader,663,1688,410,90,100
YtseJim,https://x.com/YtseJim,323,537,451,90,100
Frank4Crypto,https://x.com/Frank4Crypto,737,1163,4245,90,100
tremendaloso,https://x.com/tremendaloso,1283,509,7183,90,100
juka_1010,https://x.com/juka_1010,75,197,4746,90,100
SiestaKeyVal,https://x.com/SiestaKeyVal,1082,2267,8604,90,100
SebastianHvD,https://x.com/SebastianHvD,39,95,271,90,100
CryptoAgape,https://x.com/CryptoAgape,314,504,6626,90,100
RahulUddin1,https://x.com/RahulUddin1,153,423,604,90,100
johnfriis,https://x.com/johnfriis,888,2298,1324,90,100
oconnor_c_dit,https://x.com/oconnor_c_dit,142,197,73,90,100
he4vyweightx,https://x.com/he4vyweightx,3263,2593,17719,90,100
manisk47,https://x.com/manisk47,111,252,531,90,100
JamesCrypto87,https://x.com/JamesCrypto87,1030,1145,1879,90,100
KK73444448,https://x.com/KK73444448,316,581,997,90,100
nextfriday99,https://x.com/nextfriday99,106,83,395,90,100
0xZacc,https://x.com/0xZacc,320,751,860,90,100
Myrmec,https://x.com/Myrmec,454,1202,7568,90,100
DrEdmunDJ,https://x.com/DrEdmunDJ,478,532,653,90,100
CMathbug,https://x.com/CMathbug,1142,680,6984,90,100
nurbek11,https://x.com/nurbek11,244,195,603,90,100
ElgaardJensen,https://x.com/ElgaardJensen,306,288,314,90,100
